Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   
-5231.641331706938        -2175.487039368483        -3250.968387658329        -257.0905947034043        -5823.056190705043        -8694.752407339111        5173.752726621751         -2719.692440196115        -4059.21209469423         
-5231.533242602323        -2204.345682498242        -3294.079442766961        -231.1217552306625        -5823.952647331695        -8696.030931221554        5179.245227508582         -2693.397080652998        -4019.883166603366        
-5231.098401011448        -2233.066829013114        -3336.984869543201        -205.1492113574932        -5824.759948297637        -8697.175778093922        5184.480957044914         -2666.968501195661        -3980.355067826313        
-5230.341411723333        -2261.65064244502         -3379.684910562821        -179.1733638561127        -5825.478103591478        -8698.186963456799        5189.456526345122         -2640.406400684966        -3940.627355353674        
-5229.2667918308          -2290.097298880632        -3422.179827159474        -153.194613278567         -5826.107122097688        -8699.06450117784         5194.168486138442         -2613.710482417373        -3900.699592930265        
-5227.878972854232        -2318.4069862428          -3464.46989835109         -127.2133599837689        -5826.647011597059        -8699.808403492352        5198.61332534824          -2586.880454471451        -3860.571351575898        
-5226.182302807167        -2346.579903606675        -3506.555419818469        -101.2300041643612        -5827.097778767173        -8700.418681004172        5202.787469632138         -2559.916030071559        -3820.242210132099        
-5224.181048205166        -2374.616260548995        -3548.436702933483        -75.24494587366644        -5827.459429182636        -8700.895342686155        5206.687279881749         -2532.816927970445        -3779.711755836644        
-5221.879396019838        -2402.516276528826        -3590.114073834004        -49.25858505259384        -5827.731967315543        -8701.23839588082         5210.309050680647         -2505.582872850238        -3738.979584926739        
-5219.281455579374        -2430.280180298258        -3631.587872543751        -23.27132155650179        -5827.915396535711        -8701.447846300667        5213.649008719556         -2478.213595744688        -3698.045303272869        
-5216.391260417164        -2457.908209341462        -3672.858452134475        2.716444817982847         -5828.009719110734        -8701.523698028614        5216.703311167192         -2450.708834481717        -3656.908527044288        
-5213.212770069993        -2485.40060934081         -3713.926177928486        28.70431430608733         -5828.014936206222        -8701.465953518287        5219.468043995774         -2423.068334149371        -3615.568883408327        
-5209.749871827196        -2512.757633668662        -3754.791426739655        54.69188714808843         -5827.931047885853        -8701.274613594083        5221.939220259519         -2395.291847584303        -3574.026011264941        
-5206.006382432315        -2539.979542903544        -3795.454586150736        80.6787635624496          -5827.758053111378        -8700.949677451397        5224.112778324896         -2367.379135886033        -3532.279562018346        
-5201.986049738465        -2567.066604369611        -3835.916053825611        106.6645437190018         -5827.495949742617        -8700.491142656509        5225.984580051241         -2339.329968956241        -3490.32920038767         
-5197.692554318826        -2594.019091698225        -3876.176236854342        132.6488277121098         -5827.144734537345        -8699.899005146668        5227.550408920157         -2311.144126066531        -3448.174605258915        
-5193.129511033621        -2620.837284410314        -3916.235551129648        158.6312155337946         -5826.70440315106         -8699.173259229749        5228.805968112152         -2282.821396453946        -3405.815470579808        
-5188.300470554765        -2647.521467519284        -3956.09442075339         184.6113070469146         -5826.174950136803        -8698.313897584099        5229.746878529273         -2254.361579947639        -3363.251506300468        
-5183.208920849356        -2674.071931152197        -3995.753277471347        210.5887019582151         -5825.556368944875        -8697.32091125811         5230.368676761675         -2225.764487627137        -3320.482439361687        
-5177.858288623378        -2700.488970189705        -4035.212560135056        236.562999791422          -5824.848651922541        -8696.194289669977        5230.666812997006         -2197.029942514258        -3277.50801473367         
-5172.251940726695        -2726.772883922909        -4074.472714189527        262.53379986035           -5824.051790313562        -8694.934020606946        5230.636648870597         -2168.157780300302        -3234.327996507986        
-5166.393185520385        -2752.923975726822        -4113.534191185259        288.5007012418646         -5823.165774257737        -8693.540090224938        5230.273455254952         -2139.147850110778        -3190.942169045011        
-5160.285274207592        -2778.942552749009        -4152.397448313859        314.4633027488599         -5822.190592790488        -8692.012483047612        5229.572409986722         -2110.000015309022        -3147.350338180549        
-5153.931402129077        -2804.828925613896        -4191.062947965635        340.4212029032497         -5821.126233842166        -8690.351181965816        5228.528595529584         -2080.714154341666        -3103.552332494233        
-5147.334710024239        -2830.583408140403        -4229.531157308549        366.3739999087702         -5819.972684237349        -8688.556168236682        5227.136996571004         -2051.290161626879        -3059.548004643177        
-5140.498285258815        -2856.206317073666        -4267.8025478872          392.3212916238845         -5818.72992969444         -8686.627421482553        5225.392497551278         -2021.727948489308        -3015.337232764461        
-5133.42516302022         -2881.697971829271        -4305.877595241123        418.2626755345409         -5817.397954824613        -8684.564919690019        5223.289880122888         -1992.02744414279         -2970.919921949971        
-5126.118327481337        -2907.058694250067        -4343.756778541254        444.1977487268305         -5815.976743131119        -8682.368639208871        5220.823820538426         -1962.188596724358        -2926.296005797805        
-5118.580712933894        -2932.288808374316        -4381.440580244031        470.1261078597163         -5814.466277008352        -8680.03855475079         5217.988886965206         -1932.211374381732        -2881.46544804392         
-5110.815204892089        -2957.388640215213        -4418.929485761852        496.0473491374869         -5812.866537741094        -8677.574639388069        5214.779536724483         -1902.095766417682        -2836.42824427897         
-5102.824641167477        -2982.358517550805        -4456.223983149597        521.9610682823841         -5811.177505503234        -8674.976864552242        5211.190113453689         -1871.841784494114        -2791.184423754312        
-5094.611812915886        -3007.198769724346        -4493.324562806229        547.866860506896          -5809.39915935701         -8672.24520003263         5207.214844189599         -1841.449463898782        -2745.73405128275         
-5086.179465657289        -3031.909727453662        -4530.231717190472        573.764320486167          -5807.531477251672        -8669.379613974743        5202.847836370493         -1810.918864879059        -2700.077229238523        
-5077.530300269282        -3056.491722650535        -4566.945940550737        599.6530423301301         -5805.574436022434        -8666.380072878674        5198.083074755603         -1780.250074045209        -2654.214099662699        
-5068.666973954882        -3080.945088248234        -4603.46772866766         625.5326195557282         -5803.528011389193        -8663.246541597327        5192.914418259825         -1749.443205848336        -2608.144846479059        
-5059.592101185714        -3105.270158037543        -4639.797578609316        651.4026450589154         -5801.392177955306        -8659.978983334644        5187.335596701843         -1718.498404135695        -2561.869697827176        
-5050.308254620904        -3129.467266510823        -4675.935988498415        677.2627110865724         -5799.166909206077        -8656.57735964359         5181.340207464003         -1687.415843788942        -2515.388928519067        
